0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Scan Type:,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Inline,Inline,Inline,Inline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV
Fieldsize:,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,200 x 200 mm,300 x 300 mm
Depth:,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,15.0 mm,50.0 mm,15.0 mm,15.0 mm,15.0 mm
,Color [Blue],Color [MediumVioletRed],Color [DeepPink],Color [DarkOrchid],Color [DarkBlue],Color [Gold],Color [Teal],Color [DarkCyan],Color [DarkMagenta],Color [DarkGoldenrod],Color [CornflowerBlue],Color [MediumVioletRed],Color [SlateBlue],Color [Teal],Color [Orange],Color [DarkOrange],Color [Gold],Color [ForestGreen],Color [Blue],Color [DeepPink],Color [DarkTurquoise],Color [Brown],Color [CornflowerBlue],Color [DarkOliveGreen],Color [DarkOrange],Color [ForestGreen],Color [SlateBlue],Color [Brown],Color [Orange],Color [DarkOliveGreen],Color [DarkRed],Color [DarkGreen]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-173,,,,,,,,,,,,,,,,,,,,4.3,7.3,12.5,16.6,47.9,30.3,,,,,,,11.2
-172,,,,,,,,,,,,,,,,,,,,4.4,7.5,12.8,17.5,48.6,30.4,,,,,,,11.4
-171,,,,,,,,,,,,,,,,,,,,4.5,7.7,13.2,18.4,49,30.5,,,,,,,11.6
-170,,,,,,,,,,,,,,,,,,,5,4.5,7.8,13.6,19.9,49.4,30.6,,,,,,,11.8
-169,,,,,,,,,,,,,,,,,,,5.1,4.6,8,14,22.5,49.6,30.7,,,,,,,12
-168,,,,,,,,,,,,,,,,,,,5.2,4.7,8.2,14.4,26.4,49.9,30.8,,,,,,,12.2
-167,,,,,,,,,,,,,,,,,,,5.2,4.7,8.4,15,32.6,50.2,30.9,,,,,,,12.4
-166,,,,,,,,,,,,,,,,,,,5.3,4.8,8.6,15.7,40.1,50.5,31,,,,,,,12.7
-165,,,,,,,,,,,,,,,,,,,5.4,4.9,8.8,16.5,48.4,50.7,31.1,,,,,,,13
-164,,,,,,,,,,,,,,,,,,,5.5,5,9.1,17.7,57,50.9,31.2,,,,,,,13.3
-163,,,,,,,,,,,,,,,,,,,5.6,5.1,9.4,19.2,65,51.1,31.3,,,,,,,13.7
-162,,,,,,,,,,,,,,,,,,,5.7,5.2,9.7,21.8,72,51.3,31.4,,,,,,,14.2
-161,,,,,,,,,,,,,,,,,,,5.8,5.2,10.2,26,77.4,51.5,31.5,,,,,,,14.8
-160,,,,,,,,,,,,,,,,,,5.1,5.9,5.3,10.7,33.4,80.8,51.6,31.5,,,,,,,15.5
-159,,,,,,,,,,,,,,,,,,5.2,6,5.4,11.6,43.3,82.8,51.8,31.6,,,,,,,16.9
-158,,,,,,,,,,,,,,,,,,5.2,6.1,5.4,12.6,54.9,83.9,52,31.7,,,,,,,18.5
-157,,,,,,,,,,,,,,,,,,5.4,6.2,5.5,14.7,67.2,84.9,52.1,31.8,,,,,,,21.9
-156,,,,,,,,,,,,,,,,,,5.5,6.3,5.6,18,79.2,85.6,52.3,31.8,,,,,,,26.9
-155,,,,,,,,,,,,,,,,,4.4,5.6,6.4,5.7,24.6,90.2,86.2,52.4,31.9,,,,,,,35
-154,,,,,,,,,,,,,,,,,4.5,5.7,6.5,5.8,33.8,99,86.6,52.6,32,,,,,,,45.2
-153,,,,,,,,,,,,,,,,,4.6,5.8,6.7,5.9,45,105.1,87.1,52.7,32.1,,,,,,,58.4
-152,,,,,,,,,,,,,,,,,4.7,5.9,6.8,6,56.8,108.4,87.4,52.9,32.2,,,,,,,73.2
-151,,,,,,,,,,,,,,,,3,4.8,6,6.9,6.1,68.6,110.3,87.8,53,32.2,,,,,,5.2,88.9
-150,,,,,,,,,,,,,,,,3.1,4.9,6.2,7,6.2,79.6,111.5,88.1,53.2,32.3,,,,,,5.3,104.8
-149,,,,,,,,,,,,,,,,3.1,5,6.3,7.1,6.3,88.3,112.5,88.3,53.3,32.5,,,,,,5.4,117.6
-148,,,,,,,,,,,,,,,,3.2,5.1,6.4,7.3,6.4,94.6,113.2,88.6,53.5,32.5,,,,,,5.5,128.5
-147,,,,,,,,,,,,,,,,3.3,5.2,6.6,7.4,6.5,97.6,113.7,88.9,53.6,32.6,,,,,,5.6,133.9
-146,,,,,,,,,,,,,,,,3.3,5.3,6.7,7.5,6.6,99.3,114.1,89.1,53.7,32.6,,,,,,5.6,137.3
-145,,,,,,,,,,,,,,,,3.4,5.4,6.9,7.7,6.7,100.2,114.5,89.3,53.8,32.7,,,,,,5.7,138.8
-144,,,,,,,,,,,,,,,,3.4,5.5,7,7.9,6.8,101,114.9,89.5,54,32.8,,,,,,5.8,140.2
-143,,,,,,,,,,,,,,,,3.5,5.6,7.2,8,7,101.4,115.1,89.8,54.1,32.8,,,,,,6,140.8
-142,,,,,,,,,,,,,,,,3.6,5.8,7.3,8.2,7.1,101.7,115.3,90,54.2,32.9,,,,,,6.1,141.4
-141,,,,,,,,,,,,,,,,3.7,5.9,7.5,8.3,7.3,101.9,115.5,90.2,54.3,33,,,,,,6.2,141.7
-140,,,,,,,,,,,,,,,,3.7,6,7.6,8.5,7.5,102.2,115.8,90.3,54.5,33,,,,,,6.3,142.1
-139,,,,,,,,,,,,,,,,3.8,6.2,7.8,8.6,7.6,102.2,116,90.5,54.6,33.1,,,,,,6.4,142.3
-138,,,,,,,,,,,,,,,,3.9,6.3,8,8.8,7.8,102.3,116.1,90.7,54.7,33.1,,,,,,6.6,142.5
-137,,,,,,,,,,,,,,,,4,6.5,8.2,9,8.2,102.4,116.3,90.8,54.8,33.2,,,,,,6.7,142.6
-136,,,,,,,,,,,,,,,,4.1,6.6,8.3,9.2,8.6,102.5,116.4,90.9,54.9,33.3,,,,,,6.9,142.8
-135,,,,,,,,,,,,,,,,4.2,6.8,8.5,9.4,9.2,102.6,116.6,91.1,55,33.3,,,,,,7,142.9
-134,,,,,,,,,,,,,,,,4.3,6.9,8.8,9.6,9.9,102.7,116.7,91.3,55.1,33.4,,,,,,7.1,142.9
