4.9,82.06,83.22,84.03,84.66,85.26,85.7,85.98,86.25,86.51,86.93,87.29,87.46,87.52,87.62,87.73,87.96,88.31,88.5,88.7,88.9
5,81.49,82.72,83.49,84.19,84.82,85.27,85.54,85.81,86.07,86.52,86.88,87.05,87.11,87.24,87.37,87.63,87.96,88.16,88.36,88.56
5.1,80.94,82.21,82.98,83.73,84.35,84.84,85.12,85.37,85.61,86.12,86.47,86.64,86.72,86.86,87.01,87.28,87.61,87.81,88,88.19
5.2,80.38,81.68,82.48,83.27,83.9,84.41,84.68,84.93,85.17,85.72,86.09,86.27,86.34,86.48,86.63,86.91,87.26,87.45,87.65,87.85
5.3,79.84,81.17,82.01,82.8,83.45,83.97,84.23,84.49,84.76,85.29,85.69,85.9,85.96,86.09,86.22,86.54,86.9,87.11,87.32,87.53
5.4,79.33,80.69,81.55,82.32,83,83.51,83.81,84.08,84.35,84.88,85.29,85.49,85.56,85.7,85.84,86.18,86.53,86.76,86.99,87.22
5.5,78.84,80.2,81.09,81.83,82.56,83.04,83.38,83.67,83.95,84.5,84.89,85.08,85.16,85.32,85.48,85.82,86.17,86.41,86.65,86.89
5.6,78.35,79.66,80.59,81.36,82.12,82.6,82.94,83.24,83.54,84.1,84.49,84.69,84.77,84.94,85.11,85.48,85.83,86.07,86.3,86.53
5.7,77.86,79.11,80.09,80.9,81.68,82.17,82.49,82.81,83.12,83.7,84.1,84.3,84.38,84.56,84.74,85.12,85.48,85.72,85.95,86.18
5.8,77.34,78.59,79.59,80.44,81.21,81.73,82.05,82.38,82.71,83.29,83.7,83.9,84,84.19,84.38,84.73,85.12,85.37,85.61,85.85
5.9,76.8,78.16,79.11,79.98,80.73,81.29,81.6,81.94,82.28,82.88,83.29,83.5,83.61,83.81,84.02,84.37,84.78,85.03,85.29,85.55
6,76.27,77.71,78.67,79.53,80.26,80.85,81.17,81.52,81.87,82.46,82.88,83.09,83.21,83.43,83.66,84.04,84.43,84.7,84.96,85.22
6.1,75.73,77.2,78.22,79.07,79.78,80.41,80.77,81.11,81.45,82.06,82.49,82.7,82.82,83.05,83.28,83.67,84.07,84.35,84.63,84.91
6.2,75.22,76.67,77.74,78.6,79.32,79.97,80.34,80.69,81.04,81.65,82.11,82.34,82.45,82.67,82.89,83.3,83.71,84.01,84.3,84.59
6.3,74.71,76.2,77.28,78.14,78.91,79.53,79.9,80.26,80.62,81.27,81.73,81.95,82.07,82.29,82.51,82.96,83.38,83.68,83.97,84.26
6.4,74.22,75.75,76.83,77.7,78.51,79.1,79.49,79.85,80.21,80.89,81.32,81.53,81.66,81.92,82.18,82.63,83.07,83.35,83.64,83.93
6.5,73.73,75.28,76.35,77.26,78.06,78.67,79.1,79.46,79.82,80.48,80.93,81.15,81.29,81.56,81.83,82.29,82.74,83.03,83.31,83.59
6.6,73.25,74.82,75.86,76.81,77.6,78.24,78.68,79.06,79.44,80.08,80.57,80.81,80.94,81.2,81.46,81.93,82.37,82.67,82.98,83.29
6.7,72.79,74.36,75.42,76.37,77.16,77.82,78.23,78.64,79.05,79.69,80.2,80.46,80.58,80.83,81.09,81.55,82.01,82.31,82.62,82.93
6.8,72.34,73.87,74.99,75.96,76.73,77.39,77.79,78.21,78.64,79.29,79.81,80.08,80.21,80.47,80.73,81.17,81.67,81.98,82.28,82.58
