0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Scan Type:,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF)
Fieldsize:,10 x 10 mm,10 x 10 mm,10 x 10 mm,10 x 10 mm,10 x 10 mm,20 x 20 mm,20 x 20 mm,20 x 20 mm,20 x 20 mm,20 x 20 mm,30 x 30 mm,30 x 30 mm,30 x 30 mm,30 x 30 mm,30 x 30 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,50 x 50 mm,50 x 50 mm,50 x 50 mm,50 x 50 mm,50 x 50 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm
Depth:,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,100.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,100.0 mm,300.0 mm
,Color [ForestGreen],Color [Gold],Color [Brown],Color [CornflowerBlue],Color [DarkOliveGreen],Color [DarkOrchid],Color [DarkGreen],Color [DarkTurquoise],Color [DarkRed],Color [DarkOrange],Color [DarkBlue],Color [DarkGoldenrod],Color [DarkMagenta],Color [DarkCyan],Color [MediumVioletRed],Color [Blue],Color [DeepPink],Color [Orange],Color [Teal],Color [SlateBlue],Color [ForestGreen],Color [Gold],Color [Brown],Color [CornflowerBlue],Color [DarkOliveGreen],Color [MediumVioletRed],Color [Orange],Color [DeepPink],Color [DarkOrchid],Color [DarkGreen],Color [DarkTurquoise],Color [DarkRed],Color [DarkOrange],Color [DarkBlue],Color [DarkGoldenrod],Color [DarkMagenta],Color [DarkCyan],Color [MediumVioletRed],Color [SlateBlue],Color [Teal],Color [Blue]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,16.2,23.8,51.4,79.3,,,
-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,16.8,24.8,68.1,80.1,,,
-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,17.4,26,88.7,80.9,,,
-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,18.1,27.2,103.5,81.6,,,
-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,18.8,28.7,112.6,82.4,,,
-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,19.6,30.6,117.6,83.2,,,
-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,20.4,33.2,121,83.8,,,
-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16.3,21.7,36.8,123.6,84.5,,,
-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,17,23.1,42.5,125.7,85,,,
-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,17.9,24.9,52.3,127.3,85.5,,,
-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,19,27.1,70.3,128.8,86,,,
-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,20.3,30.2,101.9,130.2,86.5,,,
-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,6.6,22.1,34.6,142.6,131.5,87.1,,,
-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,6.7,24.5,41.4,171.2,132.7,87.7,,,
-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,6.8,28.2,54.4,186,133.8,88.3,,,
-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.9,33.8,79.6,193.9,135,88.8,,,
-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.1,44.1,126,198.9,136.1,89.5,,,
-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,7.9,7.2,64.6,183.7,203.2,137.3,90.1,,,
-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,8,7.3,105,220.6,206.6,138.4,90.7,,,
-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,6.8,8.2,7.5,166.8,238.5,209.5,139.4,91.4,,,
-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.2,7,8.4,7.6,225.5,249.2,211.9,140.3,91.8,,,
-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,5.3,7.2,8.6,7.8,257.8,255.1,214.1,141.2,92.2,,,
-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,5.3,7.4,8.8,8,273.3,260.2,216.9,142.3,92.7,,,
-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,5.4,7.5,8.9,8.1,282.6,264.1,218.4,143.3,93.2,,,
-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,5.5,7.7,9.1,8.2,288.7,268,220.2,144.1,94,,,
-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.7,7.9,9.3,8.4,293.5,270.9,222.1,144.9,94.8,,,
-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.8,8.1,9.6,8.6,297.3,274.1,224.1,145.9,95.3,,,
-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.9,8.2,9.8,8.7,300.3,276.2,225.3,146.9,95.8,,,
-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,6,8.3,10,8.9,303.3,278.4,227.2,148,96.4,,,
-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6.2,8.6,10.3,9.1,305.8,280.3,228.4,149.2,96.9,,,
-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.3,8.9,10.5,9.4,308.2,282.9,230.7,150,97.5,,,
-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,6.4,9.1,10.8,9.6,310.3,284.6,231.9,150.9,98.2,,,
-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,6.6,9.3,11,9.8,312.3,286.9,233.5,151.9,98.5,,,1.2
-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,5.8,6.8,9.5,11.2,10,314.4,288.6,235.5,152.9,98.9,,,1.2
-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,5.9,6.9,9.8,11.5,10.2,316.5,290.7,236.7,153.7,99.5,,,1.2
-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,6,7.1,10.1,11.8,10.4,318.4,292.5,238,154.6,100.1,,,1.2
-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,6.2,7.3,10.3,12.1,10.7,320.3,294.4,239.9,155.6,100.7,,,1.3
-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,6.3,7.5,10.6,12.4,10.9,321.9,296.5,241.2,156.7,101.4,,,1.3
-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,6.4,7.7,10.9,12.7,11.1,324.4,298.1,243,157.4,101.8,,1.6,1.3
-82,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,1.5,1.3,6.6,7.9,11.2,13,11.4,326.2,300,244.3,158.1,102.2,,1.7,1.4
-81,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,1.5,1.3,6.7,8,11.5,13.3,11.7,328.4,301.4,246,159,102.7,,1.8,1.4
-80,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1.5,1.3,6.9,8.3,11.9,13.7,12,330.4,303.8,247.4,159.9,103.1,1.4,1.8,1.4
-79,,,,,,,,,,,,,,,,,,,,,,,,3.5,3,1,1.6,1.3,7,8.5,12.3,14.1,12.3,331.8,305.4,248.7,160.9,103.9,1.5,1.8,1.4
-78,,,,,,,,,,,,,,,,,,,,,,,,3.6,3,1.1,1.6,1.3,7.2,8.8,12.7,14.6,12.7,333.9,307.8,250.1,161.9,104.6,1.5,1.9,1.5
-77,,,,,,,,,,,,,,,,,,,,,,,3.2,3.6,3.1,1.1,1.7,1.4,7.4,9.1,13.1,15,13.1,336.5,309.2,252,162.8,105.1,1.5,1.9,1.5
-76,,,,,,,,,,,,,,,,,,,,,,2.6,3.3,3.7,3.2,1.1,1.7,1.4,7.6,9.4,13.6,15.4,13.6,338.2,310.8,253.3,163.7,105.6,1.5,2,1.5
-75,,,,,,,,,,,,,,,,,,,,2.2,2.3,2.6,3.4,3.8,3.3,1.1,1.6,1.4,7.9,9.7,14,15.9,14.1,340.4,312.9,254.3,164.8,106.1,1.6,2.1,1.6
-74,,,,,,,,,,,,,,,,,,,,2.2,2.4,2.7,3.4,3.9,3.3,1.1,1.7,1.5,8.2,10,14.5,16.5,14.7,342.5,314.4,256.9,165.8,106.6,1.6,2.1,1.6
-73,,,,,,,,,,,,,,,,,,,2.6,2.3,2.4,2.7,3.5,4,3.4,1.2,1.8,1.5,8.4,10.4,15,16.9,15.3,344.2,316.6,258.1,166.5,107.2,1.6,2.1,1.7
-72,,,,,,,,,,,,,,,,,,,2.6,2.3,2.4,2.8,3.7,4.1,3.5,1.2,1.8,1.5,8.7,10.8,15.6,17.4,16.1,346.1,319.1,259.4,167.2,107.8,1.6,2.2,1.7
-71,,,,,,,,,,,,,,,,,,2.5,2.7,2.4,2.5,2.9,3.8,4.1,3.6,1.2,1.9,1.6,9,11.2,16.2,18.2,17,348.1,320.4,260.8,168.3,108.3,1.7,2.3,1.7
-70,,,,,,,,,,,,,,,,1.9,2.1,2.6,2.8,2.4,2.5,2.9,3.9,4.2,3.7,1.2,2,1.6,9.3,11.7,16.8,19,18.3,349.9,322.3,262.6,169.4,108.8,1.8,2.3,1.8
-69,,,,,,,,,,,,,,,1.5,2,2.1,2.7,2.9,2.5,2.6,2.9,3.9,4.4,3.8,1.2,2,1.7,9.6,12.3,17.5,19.9,20.2,352.5,324.1,264,170.2,109.2,1.9,2.3,1.8
-68,,,,,,,,,,,,,,,1.5,2,2.2,2.7,3,2.5,2.7,3,4,4.5,3.8,1.3,2,1.7,9.9,12.9,18.3,20.9,23,354.4,326,265.4,171.1,109.7,1.9,2.4,1.9
-67,,,,,,,,,,,,,,1.8,1.5,2,2.2,2.8,3,2.6,2.7,3.1,4.2,4.6,3.9,1.3,2.1,1.7,10.3,13.5,19.1,22.2,27.8,356.1,328.1,266.8,171.9,110.4,1.9,2.5,1.9
-66,,,,,,,,,,,,,1.8,1.9,1.5,2.1,2.3,2.9,3.1,2.6,2.8,3.2,4.3,4.7,4,1.4,2.1,1.7,10.8,14.2,20.1,23.9,35.4,358.9,329.7,269.2,172.7,111,2,2.6,1.9
-65,,,,,,,,,,,1.5,1.6,1.9,1.9,1.6,2.1,2.3,2.9,3.2,2.7,2.8,3.3,4.4,4.9,4.1,1.5,2.2,1.8,11.4,15,21.2,26,47.4,360.9,331.3,270.5,173.7,111.3,2,2.7,1.9
-64,,,,,,,,,,,1.5,1.6,1.9,2,1.6,2.1,2.4,3,3.3,2.8,2.9,3.4,4.5,5,4.2,1.5,2.4,1.8,11.9,15.9,22.6,29,62.4,363.2,334,271.8,174.7,111.6,2,2.7,1.9
-63,,,,,,,,,,,1.6,1.7,1.9,2,1.7,2.2,2.4,3.1,3.3,2.8,3,3.4,4.7,5.1,4.3,1.5,2.4,1.8,12.6,17,24.2,33.7,74.7,365.4,335.3,273.7,175.7,112.3,2.1,2.8,2
-62,,,,,,,,,,0.8,1.6,1.7,2,2.1,1.7,2.2,2.5,3.2,3.4,2.9,3,3.5,4.8,5.2,4.4,1.5,2.5,1.9,13.4,18.3,26.1,41.8,82.6,367.4,337.2,274.9,176.8,113,2.2,3,2.1
