Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 11:47:28
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
12.857266	150.622123
12.882280	150.389105
12.907294	150.156086
12.932308	149.923067
12.957322	149.690049
12.982336	149.457030
13.007350	149.224012
13.032365	148.990993
13.057379	148.757974
13.082393	148.524956
13.107407	148.295547
13.132421	148.070730
13.157435	147.845913
13.182449	147.621096
13.207464	147.396280
13.232478	147.171463
13.257492	146.946646
13.282506	146.721829
13.307520	146.497012
13.332534	146.272196
13.357548	146.074077
13.382562	145.909159
13.407577	145.744240
13.432591	145.579322
13.457605	145.414404
13.482619	145.249485
13.507633	145.084567
13.532647	144.919649
13.557661	144.754730
13.582676	144.589812
13.607690	144.422489
13.632704	144.252244
13.657718	144.082000
13.682732	143.911755
13.707746	143.741510
13.732760	143.571265
13.757775	143.401020
13.782789	143.230775
13.807803	143.060530
13.832817	142.890285
13.857831	142.693602
13.882845	142.465509
13.907859	142.237416
13.932873	142.009323
13.957888	141.781231
13.982902	141.553138
14.007916	141.325045
14.032930	141.096952
14.057944	140.868859
14.082958	140.640766
14.107972	140.415138
14.132987	140.192371
14.158001	139.969605
14.183015	139.746839
14.208029	139.524072
14.233043	139.301306
14.258057	139.078540
14.283071	138.855773
14.308085	138.633007
14.333100	138.410241
14.358114	138.215145
14.383128	138.051464
14.408142	137.887783
14.433156	137.724102
14.458170	137.560421
14.483184	137.396739
14.508199	137.233058
14.533213	137.069377
14.558227	136.905696
14.583241	136.742015
14.608255	136.577943
14.633269	136.413437
14.658283	136.248931
14.683298	136.084425
14.708312	135.919919
14.733326	135.755413
14.758340	135.590907
14.783354	135.426401
14.808368	135.261895
14.833382	135.097389
14.858396	134.907896
14.883411	134.691292
14.908425	134.474689
14.933439	134.258085
14.958453	134.041482
14.983467	133.824878
15.008481	133.608275
15.033495	133.391671
15.058510	133.175068
15.083524	132.958464
15.108538	132.744646
15.133552	132.533781
15.158566	132.322917
15.183580	132.112052
15.208594	131.901188
15.233609	131.690323
15.258623	131.479459
15.283637	131.268594
15.308651	131.057729
15.333665	130.846865
15.358679	130.663387
15.383693	130.508309
15.408707	130.353231
15.433722	130.198152
15.458736	130.043074
15.483750	129.887995
15.508764	129.732917
15.533778	129.577838
15.558792	129.422760
15.583806	129.267682
15.608821	129.114238
15.633835	128.962453
15.658849	128.810668
15.683863	128.658883
15.708877	128.507098
15.733891	128.355313
15.758905	128.203528
15.783919	128.051743
15.808934	127.899958
15.833948	127.748172
