Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 12:08:38
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
11.606559	316.770453
11.631573	316.316936
11.656587	315.863419
11.681601	315.409903
11.706615	314.956386
11.731630	314.514797
11.756644	314.090445
11.781658	313.666092
11.806672	313.241740
11.831686	312.817388
11.856700	312.393036
11.881714	311.968683
11.906728	311.544331
11.931743	311.119979
11.956757	310.695627
11.981771	310.263884
12.006785	309.821707
12.031799	309.379531
12.056813	308.937355
12.081827	308.495179
12.106842	308.053002
12.131856	307.610826
12.156870	307.168650
12.181884	306.726473
12.206898	306.284297
12.231912	305.853695
12.256926	305.439056
12.281941	305.024418
12.306955	304.609779
12.331969	304.195141
12.356983	303.780503
12.381997	303.365864
12.407011	302.951226
12.432025	302.536588
12.457039	302.121949
12.482054	301.699031
12.507068	301.264953
12.532082	300.830876
12.557096	300.396798
12.582110	299.962720
12.607124	299.528643
12.632138	299.094565
12.657153	298.660488
12.682167	298.226410
12.707181	297.792332
12.732195	297.370842
12.757209	296.965929
12.782223	296.561016
12.807237	296.156103
12.832251	295.751190
12.857266	295.346277
12.882280	294.941364
12.907294	294.536451
12.932308	294.131538
12.957322	293.726625
12.982336	293.314624
13.007350	292.893503
13.032365	292.472381
13.057379	292.051259
13.082393	291.630137
13.107407	291.209015
13.132421	290.787893
13.157435	290.366771
13.182449	289.945649
13.207464	289.524527
13.232478	289.115602
13.257492	288.722018
13.282506	288.328434
13.307520	287.934850
13.332534	287.541266
13.357548	287.147682
13.382562	286.754098
13.407577	286.360514
13.432591	285.966930
13.457605	285.573346
13.482619	285.172496
13.507633	284.762715
13.532647	284.352933
13.557661	283.943152
13.582676	283.533370
13.607690	283.123589
13.632704	282.713808
13.657718	282.304026
13.682732	281.894245
13.707746	281.484463
13.732760	281.086456
13.757775	280.702597
13.782789	280.318739
13.807803	279.934880
13.832817	279.551021
13.857831	279.167163
13.882845	278.783304
13.907859	278.399445
13.932873	278.015587
13.957888	277.631728
13.982902	277.241164
14.007916	276.842723
14.032930	276.444282
14.057944	276.045841
14.082958	275.647400
14.107972	275.248959
14.132987	274.850518
14.158001	274.452077
14.183015	274.053636
14.208029	273.655195
14.233043	273.268064
14.258057	272.893919
14.283071	272.519775
14.308085	272.145630
14.333100	271.771485
14.358114	271.397340
14.383128	271.023195
14.408142	270.649051
14.433156	270.274906
14.458170	269.900761
14.483184	269.519746
14.508199	269.131019
14.533213	268.742292
14.558227	268.353565
14.583241	267.964838
14.608255	267.576110
14.633269	267.187383
14.658283	266.798656
14.683298	266.409929
14.708312	266.021202
14.733326	265.644060
14.758340	265.279629
14.783354	264.915198
14.808368	264.550767
14.833382	264.186336
14.858396	263.821905
14.883411	263.457474
14.908425	263.093043
14.933439	262.728612
14.958453	262.364182
14.983467	261.993500
15.008481	261.616114
15.033495	261.238727
15.058510	260.861340
15.083524	260.483954
15.108538	260.106567
15.133552	259.729181
15.158566	259.351794
15.183580	258.974408
15.208594	258.597021
15.233609	258.230705
15.258623	257.876000
15.283637	257.521294
15.308651	257.166588
15.333665	256.811883
15.358679	256.457177
15.383693	256.102472
15.408707	255.747766
15.433722	255.393061
15.458736	255.038355
15.483750	254.677247
15.508764	254.309574
15.533778	253.941902
15.558792	253.574229
15.583806	253.206556
15.608821	252.838884
15.633835	252.471211
15.658849	252.103538
15.683863	251.735865
15.708877	251.368193
15.733891	251.011041
15.758905	250.664434
15.783919	250.317827
15.808934	249.971220
15.833948	249.624613
15.858962	249.278006
15.883976	248.931399
15.908990	248.584793
15.934004	248.238186
15.959018	247.891579
15.984033	247.539239
16.009047	247.181280
16.034061	246.823321
16.059075	246.465362
16.084089	246.107403
16.109103	245.749445
16.134117	245.391486
16.159132	245.033527
16.184146	244.675568
16.209160	244.317609
16.234174	243.969584
16.259188	243.631076
16.284202	243.292568
16.309216	242.954060
16.334230	242.615552
16.359245	242.277044
16.384259	241.938536
16.409273	241.600027
16.434287	241.261519
16.459301	240.923011
16.484315	240.578647
16.509329	240.228799
16.534344	239.878950
16.559358	239.529101
