0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,8.7,11.2,12.8,26.8,,,
-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,9,11.5,14,27.1,,,
-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,9.2,11.8,16.5,27.3,,,
-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,9.4,12.2,20.5,27.4,,,
-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,9.7,12.5,27,27.6,,,
-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,10,12.9,34.9,27.8,,,
-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,10.3,13.4,40.6,28,,,
-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,10.5,13.9,43.6,28.1,,,
-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,10.9,14.5,45.3,28.3,,,
-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,11.3,15.3,46,28.4,,,
-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,8.6,11.7,16.1,46.7,28.5,,,
-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,8.9,12.1,18,47.2,28.7,,,
-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,9.1,12.7,21.6,47.8,28.9,,,
-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,9.4,13.4,29.3,47.9,29,,,
-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,9.7,14.3,42.2,48.1,29.2,,,
-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.3,10.1,15.3,59.2,48.3,29.2,,,
-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.3,10.6,17.5,70.8,48.5,29.3,,,
-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.4,11.3,22.1,76.5,48.7,29.4,,,
-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.4,12.3,32.6,79.3,48.9,29.4,,,
-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.4,13.9,51.6,80.4,49.1,29.5,,,
-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.9,2.5,17.6,77,81.4,49.4,29.6,,,
-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3,2.6,26.8,93.8,82.2,49.6,29.8,,,
