0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
29,93.7,,102.8,,105.8,,107.8,,109.6,,113,,116.4,,228.8,,250.2,,256.3,,261.1,,265.6,,271.2,,277.6,,84.2,,100.4,,104.5,,106.8,,108.6,,111.5,,115,,370.6,,431.9,,447,,453.5,,457.8,,464.5,,471.3,
30,93,,102.2,,105.1,,107.2,,109.1,,112.5,,116,,227.3,,248.4,,254.8,,259.6,,263.8,,270.1,,276.1,,83.7,,100.1,,104.3,,106.3,,108.2,,111.3,,114.6,,368,,430.6,,445.3,,451.7,,456.2,,463.5,,469.6,
31,92.3,,101.7,,104.4,,106.7,,108.7,,111.8,,115.4,,225.5,,246.9,,252.9,,258,,262.6,,268.4,,274.8,,83.3,,99.4,,103.9,,106.1,,107.9,,111,,114.5,,366.3,,428.3,,443.3,,449.9,,455.3,,461.4,,468.4,
32,91.8,,100.9,,103.8,,106.1,,108,,111.3,,114.8,,223.7,,244.7,,251.6,,256.6,,261,,267.3,,273.6,,82.9,,99.1,,103.7,,105.7,,107.5,,110.6,,114,,364.1,,425.7,,441.4,,448.6,,453.3,,460.2,,466.7,
33,91.2,,100.3,,103.1,,105.4,,107.5,,110.9,,114.3,,222,,243.1,,249.8,,255,,259.5,,265.5,,272.2,,82.7,,98.7,,103.1,,105.4,,107.2,,110.2,,113.7,,361.7,,423.9,,439.8,,446.7,,451.4,,458.1,,464.7,
34,90.6,,99.8,,102.6,,104.9,,107,,110.1,,113.6,,220.6,,241.4,,248,,253,,257.8,,264.2,,270.9,,82.1,,98.4,,102.5,,104.8,,106.8,,109.9,,113.2,,359.6,,421.3,,437.4,,444.5,,449.5,,456.1,,463.1,
35,90,,99.2,,102.2,,104.1,,106.3,,109.6,,113.4,,218.7,,239.9,,246.4,,251.9,,256.3,,262.8,,269.6,,81.7,,97.9,,102.1,,104.5,,106.4,,109.5,,112.8,,357.8,,419.6,,435.6,,442.6,,447.7,,454.8,,461.4,
36,89.3,,98.5,,101.7,,103.6,,105.6,,109.3,,112.9,,217.1,,238.1,,244.8,,250.5,,254.4,,261.5,,268.2,,81.3,,97.5,,101.7,,104,,105.9,,109.2,,112.2,,355.3,,417.5,,433,,440.9,,445.5,,452.5,,459.2,
37,88.9,,98,,100.8,,103.1,,105.2,,108.7,,112.3,,215.5,,236.2,,243.2,,248.7,,253.2,,260,,266.9,,80.8,,97,,101.2,,103.6,,105.3,,108.5,,111.9,,352.9,,414.5,,430.7,,438.3,,443.6,,450.7,,457.8,
38,88.3,,97.1,,100.2,,102.4,,104.6,,108.2,,111.8,,213.5,,234.5,,241.5,,246.9,,251.6,,258.8,,265.2,,80.5,,96.6,,100.8,,103.4,,105.1,,108.2,,111.6,,351.1,,412.3,,428.5,,436.4,,441.2,,448.5,,455.7,
39,87.5,,96.7,,99.6,,101.7,,104.1,,107.5,,111.3,,212.7,,233.2,,239.8,,245.4,,250.1,,257.3,,264.1,,79.9,,96,,100.4,,102.7,,104.6,,107.8,,111,,349.2,,410.2,,426.1,,433.9,,439.3,,446.7,,453.8,
40,86.8,,96,,99.1,,101.3,,103.6,,107.1,,110.7,,211,,231.5,,238.2,,244,,248.6,,255.7,,262.7,,79.4,,95.4,,99.9,,102.4,,104.1,,107.4,,110.7,,347.2,,407.8,,424.1,,432.1,,437.2,,444.2,,451.6,
41,86.5,,95.4,,98.4,,100.8,,103,,106.7,,110.4,,209.4,,229.5,,236.4,,242.3,,247.1,,254.1,,261.6,,79,,95.1,,99.2,,101.7,,103.5,,106.7,,110.4,,344.5,,405.6,,421.5,,429.7,,434.8,,442.4,,449.3,
42,86,,94.9,,97.8,,100.2,,102.1,,105.9,,109.7,,207.5,,228.3,,235.1,,240.7,,245.8,,253,,260.2,,78.6,,94.4,,99,,101.2,,103.1,,106.4,,110.1,,342.3,,403.3,,419.6,,427.5,,432.7,,440.5,,447.4,
43,85.1,,94.3,,97.1,,99.5,,101.7,,105.5,,109.3,,206.5,,226.2,,233.4,,239.3,,244.2,,251,,258.8,,78.2,,94,,98.4,,100.7,,102.6,,106.1,,109.3,,340.3,,400.7,,417.1,,425.1,,430.6,,438.2,,445.5,
